sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,0,爱立信,2300948+260,BDDX_XiuZaoChang_YD3500MERR-share_2,联通,SA,2300948,260,2300929,1,100,100,633984,349,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300948+259,BDDX_XiuZaoChang_YD3500MERR-share_1,联通,SA,2300948,259,2300929,1,100,100,633984,348,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300948+258,BDDX_DuJiaZhuang_YD3500MERR-share_3,联通,SA,2300948,258,2300929,1,100,100,633984,131,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300948+257,BDDX_DuJiaZhuang_YD3500MERR-share_2,联通,SA,2300948,257,2300929,1,100,100,633984,130,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2300948+256,BDDX_DuJiaZhuang_YD3500MERR-share_1,联通,SA,2300948,256,2300929,1,100,100,633984,129,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350392+1024,CZ_QX_MCZzhaoxinzhuangcunnan2100MTTERR-1-share,联通,SA,2350392,1024,2350081,1,20,20,428910,66,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303798+257,BDZZ_ZhongShiYou3500MERR-share_2,联通,SA,2303798,257,2303748,1,100,100,633984,364,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303798+256,BDZZ_ZhongShiYou3500MERR-share_1,联通,SA,2303798,256,2303748,1,100,100,633984,363,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303798+258,BDZZ_ZhongShiYou3500MERR-share_3,联通,SA,2303798,258,2303748,1,100,100,633984,365,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350384+1026,CZ_QX_LHZnanjiecun2100MTTERR-3-share,联通,SA,2350384,1026,2350081,1,20,20,428910,236,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350384+1025,CZ_QX_LHZnanjiecun2100MTTERR-2-share,联通,SA,2350384,1025,2350081,1,20,20,428910,235,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350384+1024,CZ_QX_LHZnanjiecun2100MTTERR-1-share,联通,SA,2350384,1024,2350081,1,20,20,428910,234,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344646+1024,CZ_CX_CEZZtiancun2100MTTERR-1-share,联通,SA,2344646,1024,2344193,1,20,20,428910,51,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344646+1026,CZ_CX_CEZZtiancun2100MTTERR-3-share,联通,SA,2344646,1026,2344193,1,20,20,428910,53,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344646+1025,CZ_CX_CEZZtiancun2100MTTERR-2-share,联通,SA,2344646,1025,2344193,1,20,20,428910,52,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350293+1024,CZ_QX_CSXdongaixinzhuangxi2100MTTERR-1-share,联通,SA,2350293,1024,2350082,1,20,20,428910,339,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350293+1025,CZ_QX_CSXdongaixinzhuangxi2100MTTERR-2-share,联通,SA,2350293,1025,2350082,1,20,20,428910,340,427980,n1
